'Elapsed time','ECG ECG'
'seconds','mV'
2.296,-0.070
2.298,-0.072
2.300,-0.073
2.302,-0.073
2.304,-0.072
2.306,-0.072
2.308,-0.073
2.310,-0.074
2.312,-0.075
2.314,-0.075
2.316,-0.075
2.318,-0.074
2.320,-0.075
2.322,-0.076
2.324,-0.078
2.326,-0.081
2.328,-0.085
2.330,-0.087
2.332,-0.087
2.334,-0.086
2.336,-0.082
2.338,-0.078
2.340,-0.073
2.342,-0.069
2.344,-0.068
2.346,-0.071
2.348,-0.078
2.350,-0.087
2.352,-0.097
2.354,-0.108
2.356,-0.116
2.358,-0.120
2.360,-0.118
2.362,-0.110
2.364,-0.092
2.366,-0.063
2.368,-0.019
2.370,0.042
2.372,0.120
2.374,0.215
2.376,0.321
2.378,0.430
2.380,0.535
2.382,0.624
2.384,0.689
2.386,0.723
2.388,0.720
2.390,0.674
2.392,0.584
2.394,0.453
2.396,0.289
2.398,0.110
2.400,-0.065
2.402,-0.218
2.404,-0.333
2.406,-0.404
2.408,-0.435
2.410,-0.433
2.412,-0.412
2.414,-0.382
2.416,-0.352
2.418,-0.326
2.420,-0.306
2.422,-0.291
2.424,-0.279
2.426,-0.268
2.428,-0.255
2.430,-0.238
2.432,-0.216
2.434,-0.188
2.436,-0.156
2.438,-0.123
2.440,-0.094
2.442,-0.071
2.444,-0.058
2.446,-0.054
2.448,-0.056
2.450,-0.062
2.452,-0.067
2.454,-0.068
2.456,-0.065
2.458,-0.059
2.460,-0.052
2.462,-0.046
2.464,-0.042
2.466,-0.040
2.468,-0.041
2.470,-0.042
2.472,-0.042
2.474,-0.041
2.476,-0.037
2.478,-0.033
2.480,-0.027
2.482,-0.022
2.484,-0.017
2.486,-0.015
2.488,-0.015
2.490,-0.016
2.492,-0.019
2.494,-0.020
2.496,-0.020
2.498,-0.018
2.500,-0.015
2.502,-0.012
2.504,-0.009
2.506,-0.007
2.508,-0.007
2.510,-0.008
2.512,-0.009
2.514,-0.009
2.516,-0.008
2.518,-0.006
2.520,-0.004
2.522,-0.001
2.524,0.000
2.526,0.001
2.528,0.002
2.530,0.002
2.532,0.002
2.534,0.002
2.536,0.003
2.538,0.004
2.540,0.007
2.542,0.009
2.544,0.013
2.546,0.017
2.548,0.021
2.550,0.025
2.552,0.029
2.554,0.032
2.556,0.035
2.558,0.037
2.560,0.039
2.562,0.041
2.564,0.043
2.566,0.046
2.568,0.048
2.570,0.051
2.572,0.053
2.574,0.056
2.576,0.059
2.578,0.063
2.580,0.068
2.582,0.074
2.584,0.081
2.586,0.088
2.588,0.095
2.590,0.100
2.592,0.105
2.594,0.110
2.596,0.115
2.598,0.120
2.600,0.126
2.602,0.132
2.604,0.138
2.606,0.144
2.608,0.150
2.610,0.156
2.612,0.162
2.614,0.170
2.616,0.178
2.618,0.186
2.620,0.194
2.622,0.201
2.624,0.208
2.626,0.215
2.628,0.221
2.630,0.228
2.632,0.235
2.634,0.242
